url;status;redirects;final_url;time_ms;indexable;title;h1;canonical;meta_robots;x_robots_tag;content_type;size_bytes;issues;error
https://www.grandkuchnie.pl/;200;0;https://www.grandkuchnie.pl/;116;tak;Kuchnie na wymiar Toruń — pracownia Grand Kuchnie;Kuchnie na wymiar — Toruń i województwo kujawsko-pomorskie;https://www.grandkuchnie.pl/;index, follow, max-image-preview:large;;text/html;83573;;
https://www.grandkuchnie.pl/blog/;200;0;https://www.grandkuchnie.pl/blog/;96;tak;Blog kuchenny, poradnik o kuchniach | Grand Kuchnie - Porady i inspiracje;Porady i inspiracje;https://www.grandkuchnie.pl/blog/;index, follow, max-image-preview:large;;text/html;33465;tytuł >65 zn.;
https://www.grandkuchnie.pl/blog/ile-kosztuje-kuchnia-na-wymiar/;200;0;https://www.grandkuchnie.pl/blog/ile-kosztuje-kuchnia-na-wymiar/;104;tak;Cena kuchni na wymiar w 2026 roku – kompletny przewodnik cenowy | Grand Kuchnie;Cena kuchni na wymiar w 2026 roku – kompletny przewodnik cenowy;https://www.grandkuchnie.pl/blog/ile-kosztuje-kuchnia-na-wymiar/;index, follow, max-image-preview:large;;text/html;38955;tytuł >65 zn.;
https://www.grandkuchnie.pl/blog/jak-wybrac-material-na-fronty-kuchenne/;200;0;https://www.grandkuchnie.pl/blog/jak-wybrac-material-na-fronty-kuchenne/;101;tak;Jak wybrać materiał na fronty kuchenne? Kompletny poradnik | Grand Kuchnie;Jak wybrać materiał na fronty kuchenne? Kompletny poradnik;https://www.grandkuchnie.pl/blog/jak-wybrac-material-na-fronty-kuchenne/;index, follow, max-image-preview:large;;text/html;47119;tytuł >65 zn.;
https://www.grandkuchnie.pl/blog/kategoria/poradniki/;200;0;https://www.grandkuchnie.pl/blog/kategoria/poradniki/;123;tak;Poradniki | Blog Grand Kuchnie;Poradniki;https://www.grandkuchnie.pl/blog/kategoria/poradniki/;index, follow, max-image-preview:large;;text/html;24275;;
https://www.grandkuchnie.pl/blog/kategoria/trendy-w-kuchniach/;200;0;https://www.grandkuchnie.pl/blog/kategoria/trendy-w-kuchniach/;110;tak;Trendy w kuchniach | Blog Grand Kuchnie;Trendy w kuchniach;https://www.grandkuchnie.pl/blog/kategoria/trendy-w-kuchniach/;index, follow, max-image-preview:large;;text/html;21226;;
https://www.grandkuchnie.pl/blog/trendy-kuchenne-2026/;200;0;https://www.grandkuchnie.pl/blog/trendy-kuchenne-2026/;91;tak;Trendy kuchenne 2026 – kolory, materiały, style i technologie, które zdominują aranżacje | Grand Kuchnie;Trendy kuchenne 2026 – kolory, materiały, style i technologie, które zdominują aranżacje;https://www.grandkuchnie.pl/blog/trendy-kuchenne-2026/;index, follow, max-image-preview:large;;text/html;54536;tytuł >65 zn.;
https://www.grandkuchnie.pl/blog/trojkat-roboczy-ergonomiczna-kuchnia/;200;0;https://www.grandkuchnie.pl/blog/trojkat-roboczy-ergonomiczna-kuchnia/;80;tak;Trójkąt roboczy w kuchni – jak zaplanować ergonomiczną przestrzeń | Grand Kuchnie;Trójkąt roboczy w kuchni – jak zaplanować ergonomiczną przestrzeń;https://www.grandkuchnie.pl/blog/trojkat-roboczy-ergonomiczna-kuchnia/;index, follow, max-image-preview:large;;text/html;47302;tytuł >65 zn.;
https://www.grandkuchnie.pl/kontakt/;200;0;https://www.grandkuchnie.pl/kontakt/;85;tak;Kontakt | Grand Kuchnie - Darmowa wycena kuchni na wymiar;Uzyskaj darmową wycenę;https://www.grandkuchnie.pl/kontakt/;index, follow, max-image-preview:large;;text/html;31820;;
https://www.grandkuchnie.pl/miasto/bydgoszcz/;200;0;https://www.grandkuchnie.pl/miasto/bydgoszcz/;109;tak;Kuchnia na wymiar - Bydgoszcz | Projektowanie, montaż, produkcja na zamówienie;Kuchnia na wymiar - Bydgoszcz;https://www.grandkuchnie.pl/miasto/bydgoszcz/;index, follow, max-image-preview:large;;text/html;69687;tytuł >65 zn.;
